"CAMIS","DBA","BORO","BUILDING","STREET","ZIPCODE","PHONE","CUISINE DESCRIPTION","INSPECTION DATE","ACTION","VIOLATION CODE","VIOLATION DESCRIPTION","CRITICAL FLAG","SCORE","GRADE","GRADE DATE","RECORD DATE","INSPECTION TYPE","Latitude","Longitude","Community Board","Council District","Census Tract","BIN","BBL","NTA","Location"
"50164459","The Row Harlem juice bar and bowls","Manhattan","2270","ADAM CLAYTON POWELL JR BOULEVARD",,"6468797762",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"0","0",,,,,"1",,
"50168743","QINGYUN INC","Manhattan","367","WEST   36 STREET","10018","2014235900",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.75422865473","-73.99427909107","104","03","011100","1082264","1007600001","MN13","POINT (-73.994279091073 40.754228654731)"
"50180582","GRUHAM FOOD SERVICES, LLC","Brooklyn","100","WILLOUGHBY STREET","11201","9087701184",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.69211919416","-73.9846996101","302","33","001500","3424451","3001450022","BK38","POINT (-73.984699610102 40.692119194158)"
"50178349","GOOD BAKLAVA LLC","Manhattan","1","HERALD SQUARE","10001","6199042037",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.75054190782","-73.98754102176","105","04","010900","1089436","1008100045","MN17","POINT (-73.987541021756 40.750541907818)"
"50169251","BARTOLO BARS LLC","Manhattan","714","11 AVENUE","10019","9176393121",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.76625344444","-73.99433942521","104","03","013500","1027047","1010790063","MN15","POINT (-73.994339425207 40.76625344444)"
"50130631","Yong Sheng Garden Chinese Restaurant","Manhattan","2825","FRDRK DGLSS BLVD",,"2128622702","Chinese","12/17/2024","Violations were cited in the following area(s).","09B","Thawing procedure improper.","Not Critical","22","B","12/17/2024","04/20/2026","Cycle Inspection / Re-inspection","0","0",,,,,"1",,
"50178157","VICTORIA PAUL CO.","Brooklyn","53","BRIDGE STREET","11201","3145980770",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.70292261203","-73.98466105485","302","33","002100","3335871","3000420001","BK38","POINT (-73.984661054846 40.70292261203)"
"50175163","NEW ONE FABENE PIZZA & PASTA.","Manhattan","2309","ADAM CLAYTON POWELL JR BOULEVARD",,"646677238",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"0","0",,,,,"1",,
"50180640","BAGEL BARISTA ARVERNE CORP","Queens","190","BEACH   69 STREET","11692","7189121092",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.5896161749","-73.79779716584","414","31","095400","4614931","4159390103","QN12","POINT (-73.797797165844 40.589616174896)"
"41718673","BAREBURGER","Brooklyn","145149","COURT ST",,"3475296673","Hamburgers","10/19/2024","No violations were recorded at the time of this inspection.",,,"Not Applicable","0",,,"04/20/2026","Inter-Agency Task Force / Initial Inspection","0","0",,,,,"3",,
"50181329","DUNKIN DONUTS","Manhattan","4","SOUTH STREET","10004","2126191222",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.70168790108","-74.01163112586","101","01","000900","1085792","1000020001","MN25","POINT (-74.011631125861 40.701687901075)"
"50150804","SOLEIL BRASSERIE (CONNECTOR LEVEL)","Queens","LAGUARDIA","AIRPORT","11369","2159970667",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,,,,,,,,,
"50182541","DEAR MARGO","Manhattan","961","LEXINGTON AVENUE","10021","3479244790",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.7690089158","-73.96321917543","108","04","012000","1042507","1014040051","MN40","POINT (-73.963219175429 40.769008915795)"
"50180007","CHARLOTTE PATISSERIE","Queens","78","7TH AVE","11697","3475179997",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.55808062397","-73.91571682708","414","32","091601",,"4","QN10","POINT (-73.915716827081 40.558080623965)"
"50158707","H BAR CAFE","Brooklyn","1650","BEDFORD AVENUE","11225","3473515275",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.66626173086","-73.95667597707","309","35","032500","3034075","3012940001","BK63","POINT (-73.956675977066 40.666261730859)"
"50177661","THE NEST","Brooklyn","171","NORTH    3 STREET","11211","9147150809",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.71532842114","-73.95974262456","301","34","055300","3421592","3023527501","BK73","POINT (-73.959742624564 40.715328421135)"
"50181721","COOKING WITH COREY","Queens","9-20","35 AVENUE","11106","9174784989",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.76332312373","-73.94029945244","401","22","003900","4003935","4003290018","QN68","POINT (-73.940299452437 40.763323123727)"
"50181560","PIZZA DAA ROMA","Manhattan","621","2 AVENUE","10016","7167170411",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.74467725548","-73.97596120472","106","02","007000","1020129","1009140035","MN20","POINT (-73.97596120472 40.744677255478)"
"50182448","ROLLRAFT 77 CORP","Manhattan","77","EAST   10 STREET","10003","2018931848",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.7311449119","-73.99004150297","103","02","004200","1008968","1005560001","MN22","POINT (-73.990041502972 40.731144911901)"
"50150796","CALISTA TAVERNA (CONNECTOR LEVEL)","Queens",,"TERMINAL C CONCOURSE F","11371","2159970667",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,,,,,,,,,
"50182521","RA @ CITADEL FLS 34-37","Manhattan","660","5 AVENUE","10103","7043286780",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.76013593122","-73.97686164576","105","04","010400","1034520","1012687502","MN17","POINT (-73.976861645763 40.760135931218)"
"50182294","1316 KOACHA INC","Manhattan","2","WEST  111 STREET","10026","2123488889",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.79766705026","-73.94926184394","110","09","018600","1051399","1015940040","MN11","POINT (-73.949261843943 40.797667050256)"
"50165978","PITA AND FUCHKA GOUR","Brooklyn","1088","LIBERTY AVENUE","11208","9294846575",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.67838206232","-73.86917135405","305","37","119000","3094330","3042000018","BK83","POINT (-73.869171354045 40.678382062321)"
"50177432","Saint Raymond Academy for Girls","Bronx","1725","CASTLE HILL AVENUE","10462","7186979925",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.84099244824","-73.85309269878","209","18","021001","2041260","2039580140","BX46","POINT (-73.853092698782 40.840992448241)"
"50161000","BUBALU BAR & LOUNGE","Brooklyn","2943","FULTON STREET","11207","7185843333",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.67948705271","-73.8860854751","305","37","117201","3087661","3039390032","BK83","POINT (-73.886085475097 40.679487052708)"
"50183721","BLENDI LLC","Manhattan","1164","1 AVENUE","10065","3477819390",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.76257954383","-73.95978976187","108","05","010602","1045388","1014580046","MN31","POINT (-73.959789761872 40.762579543827)"
"50169256","SUNKEN MEADOW FIELDS","Manhattan","10","CENTRAL ROAD","10035","7043286780",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.79226230402","-73.92382673347","111","08","024000","1085645","1018190203","MN99","POINT (-73.92382673347 40.792262304015)"
"50105605","LALIBELA ETHIOPIAN RESTAURANT","Manhattan","2084","FREDERICK DOUGLASS BOULEVARD",,"9178819775","Ethiopian","04/05/2023","Violations were cited in the following area(s).","08A","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.","Not Critical","32",,,"04/20/2026","Cycle Inspection / Initial Inspection","0","0",,,,,"1",,
"41585425","LUCKY GARDEN","Bronx","305","WYCKOFF AVENUE",,"7184181002","Chinese","12/16/2025","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","27",,,"04/20/2026","Cycle Inspection / Initial Inspection","0","0",,,,,"2",,
"50184326","LILJANA GJEKA","Bronx","1633","CROSBY AVENUE","10461","3472820578",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.84473301174","-73.83076945987","210","13","026602","2046045","2041670017","BX10","POINT (-73.830769459868 40.844733011739)"
"40390536","TASTE OF INDIA II RESTAURANT","Staten Island","287","NEWDORP LN",,"7189874700","Indian","10/05/2024","Violations were cited in the following area(s).","06F","Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.","Critical","13","A","10/05/2024","04/20/2026","Cycle Inspection / Initial Inspection","0","0",,,,,"5",,
"50180054","FULTON 660 WEALTH LLC","Brooklyn","4575","2 AVENUE","11232","6317213488",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.65150210559","-74.01439728992","307","38","000200",,"3","BK32","POINT (-74.014397289915 40.651502105591)"
"50171561","WONDER","Staten Island","2546","HYLAN BOULEVARD","10306","9088086982",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.56958081895","-74.11063089674","502","50","012804","5131768","5039600065","SI45","POINT (-74.110630896736 40.569580818951)"
"50134855","ZUI DE YI","Brooklyn","714","59 STREET","11220","9178281693","Chinese","07/17/2025","No violations were recorded at the time of this inspection.",,,"Not Applicable",,,,"04/20/2026","Smoke-Free Air Act / Re-inspection","40.63705948072","-74.01061096538","307","38","010400","3016395","3008660012","BK34","POINT (-74.010610965378 40.637059480718)"
"50182543","PICK AND CHEESE AND BODEGA","Manhattan","424","5 AVENUE","10018","4695133958",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.75104905549","-73.98266485226","105","04","008400","1016004","1008400042","MN17","POINT (-73.982664852255 40.751049055485)"
"50171035","AREPAS BROOKLYN","Queens","55-28","MYRTLE AVENUE","11385","3472782937",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.69995766406","-73.90751240108","405","34","055300","4085418","4035450050","QN20","POINT (-73.907512401079 40.699957664059)"
"50182730","WEST STREET COFFEE GREENPOINT LLC","Brooklyn","67","WEST STREET","11222","3472249831",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.72865403305","-73.95908149244","301","33","056500","3337599","3025640001","BK76","POINT (-73.959081492437 40.728654033054)"
"50184321","BAR FERDINANDO","Brooklyn","151","UNION STREET","11231","9174009498",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.68412467045","-74.00206240153","306","39","005100","3004269","3003360037","BK33","POINT (-74.002062401532 40.684124670454)"
"50040311","DUNKIN","Queens",,"JFK INTERNATIONAL AIRPORT","11430","7037237264","Donuts","06/02/2022","Violations were cited in the following area(s).","04A","Food Protection Certificate not held by supervisor of food operations.","Critical","0",,,"04/20/2026","Cycle Inspection / Initial Inspection",,,,,,,,,
"50177130","JUNHO2024 CORP.","Queens","154-08","NORTHERN BOULEVARD","11354","346807832",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.76464025043","-73.81085172362","407","20","117100","4119237","4052680019","QN51","POINT (-73.810851723619 40.764640250426)"
"50180356","JIA HAO RESTAURANT INC.","Brooklyn","7218","18 AVENUE","11204","9173868983",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.61496981637","-73.99439192365","311","43","026400","3158493","3061930048","BK28","POINT (-73.99439192365 40.614969816367)"
"50176345","SWEET CAKES CAFE INC","Queens","137-06","NORTHERN BOULEVARD","11354","9178814428",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.76319218541","-73.83094856357","407","20","086900","4112344","4049770023","QN22","POINT (-73.830948563572 40.763192185405)"
"50178502","INSOMNIA COOKIES OPERATORS, LLC","Staten Island","422","FOREST AVENUE","10301","8778443131",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.63081828742","-74.10344091922","501","49","005900","5006981","5002530001","SI35","POINT (-74.103440919216 40.630818287422)"
"50032708","STARBUCKS","Queens","JFK","INTL AIRPORT","11430","7186790452","Coffee/Tea","08/28/2024","No violations were recorded at the time of this inspection.",,,"Not Applicable","0","A","08/28/2024","04/20/2026","Cycle Inspection / Initial Inspection",,,,,,,,,
"50161653","YOUR CHOICE HALAL CHICKEN & PIZZA","Manhattan","1401","WHITE PLAINS RD",,"3475926737","Chicken","02/28/2025","Violations were cited in the following area(s).","04L","Evidence of mice or live mice in establishment's food or non-food areas.","Critical","32",,,"04/20/2026","Pre-permit (Operational) / Initial Inspection","0","0",,,,,"1",,
"50182998","HINDS HALL","Manhattan","941","AMSTERDAM AVENUE","10025","7189125358",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.80054960812","-73.96561444843","107","07","019300","1055948","1018610001","MN09","POINT (-73.965614448432 40.800549608118)"
